symbol,source,strategy,tag,params,initial_cash,final_equity,total_return_pct,max_drawdown_abs,max_drawdown_pct,annualized_return_pct,annualized_vol_pct,sharpe,n_trades,win_rate_pct,avg_profit_per_trade,profit_factor
AVAXUSDT,binance,MeanRevertBands,batch_MeanRevert_1h,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,992.2329114993878,-90.07767088500611,39090.37839535565,-97.59796404127688,-0.58336582688856,10.811477011795192,-0.0541153867832333,1044,60.3448275862069,-8.628129395115527,0.9426215010849512
AVAXUSDT,binance,SmaCrossATR,batch_SmaCrossATR_1h,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,42070.77535794413,320.70775357944126,161330.47717672144,-79.44858004698332,1.5186142990508245,12.507017692713804,0.1205118509582452,500,35.0,64.14155071588853,1.032536507690463
AVAXUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime_1h,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,82621.79800306162,726.2179800306162,159622.8086458455,-66.97756653208225,1.850419625176136,12.359649233847604,0.1483516513342601,633,24.328593996840443,114.72637915175596,1.0859720726604436
BNBUSDT,binance,SmaCross,batch_SmaCross_1h,"{'fast': 15, 'slow': 50}",10000.0,63714.23505433148,537.1423505433148,185844.63684370444,-84.09707265664305,1.2759134314509255,9.288246747955872,0.1365030630741301,695,35.25179856115108,75.10305683511257,1.0769923021872747
BNBUSDT,binance,MeanRevertBands,batch_MeanRevert_1h,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,2123.518729689937,-78.76481270310063,10814.880994064126,-84.55688523819754,-0.3914202751094331,7.773620436712775,-0.0504507880883266,1175,64.34042553191489,-6.703388315157504,0.8374825364653921
BNBUSDT,binance,SmaCrossATR,batch_SmaCrossATR_1h,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,5629.994016700032,-43.700059832999685,31191.52822611264,-86.12189118555655,0.0133530034588602,7.391541640422912,0.001806404700322,636,32.70440251572327,-7.132336386171688,0.9568686289826754
BNBUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime_1h,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,34817.93406180376,248.1793406180376,57299.46825168013,-66.70399146202284,0.9098935565535538,8.277196439322774,0.1094326141165363,798,25.18796992481203,30.06090857210561,1.0780044163413414
BTCUSDT,binance,SmaCross,batch_SmaCross_1h,"{'fast': 15, 'slow': 50}",10000.0,27620.63331625059,176.2063331625059,32228.09725211301,-65.96863201108319,0.7025752150458864,6.945161911703333,0.100808071763096,682,35.33724340175953,25.83670574230284,1.0732111430000462
BTCUSDT,binance,MeanRevertBands,batch_MeanRevert_1h,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,652.9638629419221,-93.47036137058078,10314.2899099711,-94.25053412238329,-1.0520146476342362,5.88308812410334,-0.1797636252084753,1181,61.64267569856055,-7.914509853563148,0.7247101922379029
BTCUSDT,binance,SmaCrossATR,batch_SmaCrossATR_1h,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,3250.787071148847,-67.49212928851152,11722.45641068307,-78.7004579011014,-0.3491951178078878,5.619249916111394,-0.0622509773340742,620,30.0,-10.885827304598662,0.8653711740354213
BTCUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime_1h,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,21090.909215408967,110.90909215408966,22865.518340589624,-56.62884379378404,0.5198005337063938,6.023125898114444,0.0860781554516959,783,23.62707535121328,14.164635013293674,1.0662418934241684
DOGEUSDT,binance,SmaCross,batch_SmaCross_1h,"{'fast': 15, 'slow': 50}",10000.0,405938.6325957352,3959.386325957352,1371551.5765075528,-83.49955243292267,3.0349695542206456,16.5948740419153,0.1801762910224443,693,31.16883116883117,565.2473694765101,1.0477021507062931
