,equity
2022-06-06 20:00:00+00:00,184820.09014261022
2022-06-07 00:00:00+00:00,184820.09014261022
2022-06-07 04:00:00+00:00,184820.09014261022
2022-06-07 08:00:00+00:00,184820.09014261022
2022-06-07 12:00:00+00:00,184820.09014261022
2022-06-07 16:00:00+00:00,184820.09014261022
2022-06-07 20:00:00+00:00,184820.09014261022
2022-06-08 00:00:00+00:00,184820.09014261022
2022-06-08 04:00:00+00:00,184820.09014261022
2022-06-08 08:00:00+00:00,184820.09014261022
2022-06-08 12:00:00+00:00,184820.09014261022
2022-06-08 16:00:00+00:00,184820.09014261022
2022-06-08 20:00:00+00:00,184820.09014261022
2022-06-09 00:00:00+00:00,184820.09014261022
2022-06-09 04:00:00+00:00,184820.09014261022
2022-06-09 08:00:00+00:00,184820.09014261022
2022-06-09 12:00:00+00:00,184820.09014261022
2022-06-09 16:00:00+00:00,184820.09014261022
2022-06-09 20:00:00+00:00,184820.09014261022
2022-06-10 00:00:00+00:00,184820.09014261022
2022-06-10 04:00:00+00:00,184820.09014261022
2022-06-10 08:00:00+00:00,184820.09014261022
2022-06-10 12:00:00+00:00,184820.09014261022
2022-06-10 16:00:00+00:00,184820.09014261022
2022-06-10 20:00:00+00:00,184820.09014261022
2022-06-11 00:00:00+00:00,184820.09014261022
2022-06-11 04:00:00+00:00,184820.09014261022
2022-06-11 08:00:00+00:00,184820.09014261022
2022-06-11 12:00:00+00:00,184820.09014261022
2022-06-11 16:00:00+00:00,184820.09014261022
2022-06-11 20:00:00+00:00,184820.09014261022
2022-06-12 00:00:00+00:00,184820.09014261022
2022-06-12 04:00:00+00:00,184820.09014261022
2022-06-12 08:00:00+00:00,184820.09014261022
2022-06-12 12:00:00+00:00,184820.09014261022
2022-06-12 16:00:00+00:00,184820.09014261022
2022-06-12 20:00:00+00:00,184820.09014261022
2022-06-13 00:00:00+00:00,184820.09014261022
2022-06-13 04:00:00+00:00,184820.09014261022
2022-06-13 08:00:00+00:00,184820.09014261022
2022-06-13 12:00:00+00:00,184820.09014261022
2022-06-13 16:00:00+00:00,184820.09014261022
2022-06-13 20:00:00+00:00,184820.09014261022
2022-06-14 00:00:00+00:00,184820.09014261022
2022-06-14 04:00:00+00:00,184820.09014261022
2022-06-14 08:00:00+00:00,184820.09014261022
2022-06-14 12:00:00+00:00,184820.09014261022
2022-06-14 16:00:00+00:00,184820.09014261022
2022-06-14 20:00:00+00:00,184820.09014261022
2022-06-15 00:00:00+00:00,184820.09014261022
2022-06-15 04:00:00+00:00,184820.09014261022
2022-06-15 08:00:00+00:00,184820.09014261022
2022-06-15 12:00:00+00:00,184820.09014261022
2022-06-15 16:00:00+00:00,184820.09014261022
2022-06-15 20:00:00+00:00,184820.09014261022
2022-06-16 00:00:00+00:00,184820.09014261022
2022-06-16 04:00:00+00:00,184820.09014261022
2022-06-16 08:00:00+00:00,184820.09014261022
2022-06-16 12:00:00+00:00,184820.09014261022
2022-06-16 16:00:00+00:00,184820.09014261022
2022-06-16 20:00:00+00:00,184820.09014261022
2022-06-17 00:00:00+00:00,184820.09014261022
2022-06-17 04:00:00+00:00,184820.09014261022
2022-06-17 08:00:00+00:00,184820.09014261022
2022-06-17 12:00:00+00:00,184820.09014261022
2022-06-17 16:00:00+00:00,184820.09014261022
2022-06-17 20:00:00+00:00,184820.09014261022
2022-06-18 00:00:00+00:00,184820.09014261022
2022-06-18 04:00:00+00:00,184820.09014261022
2022-06-18 08:00:00+00:00,184820.09014261022
2022-06-18 12:00:00+00:00,184820.09014261022
2022-06-18 16:00:00+00:00,184820.09014261022
2022-06-18 20:00:00+00:00,184820.09014261022
2022-06-19 00:00:00+00:00,184820.09014261022
2022-06-19 04:00:00+00:00,184820.09014261022
2022-06-19 08:00:00+00:00,184820.09014261022
2022-06-19 12:00:00+00:00,184820.09014261022
2022-06-19 16:00:00+00:00,184820.09014261022
