symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
LTCUSDT,4h,30,150,-81.09,-93.3,-0.039,178,13.48,0.773
LTCUSDT,4h,40,50,-43.23,-80.99,0.043,226,28.76,0.93
LTCUSDT,4h,40,75,-52.75,-75.04,0.029,175,20.57,0.87
LTCUSDT,4h,40,100,-68.72,-81.81,-0.006,172,21.51,0.775
LTCUSDT,4h,40,150,-79.88,-92.72,-0.036,180,15.56,0.79
MATICUSDT,4h,5,30,586.21,-76.71,0.304,207,24.15,1.172
MATICUSDT,4h,5,50,307.36,-75.09,0.263,179,19.55,1.222
MATICUSDT,4h,5,75,539.85,-79.26,0.299,158,17.72,1.234
MATICUSDT,4h,5,100,709.87,-84.56,0.317,152,15.79,1.179
MATICUSDT,4h,5,150,1099.7,-81.75,0.346,138,15.22,1.189
MATICUSDT,4h,10,30,655.41,-68.37,0.312,188,25.0,1.228
MATICUSDT,4h,10,50,712.9,-66.98,0.318,157,23.57,1.337
MATICUSDT,4h,10,75,929.82,-76.81,0.336,139,19.42,1.257
MATICUSDT,4h,10,100,886.18,-78.99,0.332,134,20.15,1.22
MATICUSDT,4h,10,150,730.95,-85.96,0.32,122,16.39,1.163
MATICUSDT,4h,15,30,126.88,-87.94,0.214,192,25.0,1.069
MATICUSDT,4h,15,50,528.29,-77.42,0.297,141,21.99,1.268
MATICUSDT,4h,15,75,625.39,-83.74,0.309,128,17.97,1.193
MATICUSDT,4h,15,100,492.71,-84.46,0.294,129,20.16,1.2
MATICUSDT,4h,15,150,2632.19,-70.47,0.406,118,18.64,1.301
MATICUSDT,4h,20,30,144.87,-91.24,0.219,184,25.54,1.07
MATICUSDT,4h,20,50,229.87,-82.85,0.246,139,23.02,1.181
MATICUSDT,4h,20,75,505.06,-87.94,0.295,121,21.49,1.194
MATICUSDT,4h,20,100,699.18,-85.6,0.317,125,18.4,1.227
MATICUSDT,4h,20,150,2447.49,-69.19,0.401,111,18.02,1.292
MATICUSDT,4h,30,50,48.29,-85.49,0.182,142,24.65,1.072
MATICUSDT,4h,30,75,673.4,-79.06,0.314,119,20.17,1.228
MATICUSDT,4h,30,100,1594.28,-78.12,0.372,115,19.13,1.226
MATICUSDT,4h,30,150,2446.3,-64.31,0.401,98,20.41,1.253
MATICUSDT,4h,40,50,206.42,-69.73,0.24,157,30.57,1.142
MATICUSDT,4h,40,75,1619.96,-70.11,0.375,119,19.33,1.306
MATICUSDT,4h,40,100,2358.58,-63.16,0.399,114,19.3,1.276
MATICUSDT,4h,40,150,3303.6,-62.45,0.423,97,18.56,1.283
SOLUSDT,4h,5,30,1642.77,-58.61,0.352,239,27.2,1.215
SOLUSDT,4h,5,50,2731.64,-68.69,0.386,198,22.22,1.335
SOLUSDT,4h,5,75,5812.54,-67.01,0.438,179,20.11,1.402
SOLUSDT,4h,5,100,7896.65,-66.98,0.457,165,19.39,1.455
SOLUSDT,4h,5,150,11732.38,-72.41,0.48,145,14.48,1.494
SOLUSDT,4h,10,30,2201.44,-68.34,0.374,224,28.12,1.213
SOLUSDT,4h,10,50,2869.93,-71.53,0.39,173,24.28,1.334
SOLUSDT,4h,10,75,5117.26,-70.48,0.429,155,21.29,1.468
SOLUSDT,4h,10,100,10100.12,-68.8,0.473,152,21.05,1.455
SOLUSDT,4h,10,150,7854.09,-78.5,0.452,138,14.49,1.458
SOLUSDT,4h,15,30,905.91,-73.93,0.309,213,30.05,1.191
SOLUSDT,4h,15,50,2425.81,-70.63,0.378,164,24.39,1.374
SOLUSDT,4h,15,75,6960.96,-63.98,0.452,155,20.65,1.409
SOLUSDT,4h,15,100,7103.27,-68.04,0.449,143,20.28,1.492
SOLUSDT,4h,15,150,11346.43,-74.93,0.479,133,18.05,1.507
SOLUSDT,4h,20,30,1193.96,-73.9,0.33,225,32.0,1.212
SOLUSDT,4h,20,50,2394.14,-69.68,0.377,170,24.12,1.365
SOLUSDT,4h,20,75,3915.25,-69.32,0.41,154,18.83,1.34
SOLUSDT,4h,20,100,10101.66,-71.28,0.476,135,21.48,1.472
SOLUSDT,4h,20,150,10158.58,-78.03,0.472,129,18.6,1.478
SOLUSDT,4h,30,50,2099.89,-67.81,0.368,174,21.84,1.339
